state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
TELANGANA,509407,,,,,,,,,,,,
TELANGANA,509408,,,,,,,,,,,,
TELANGANA,509409,,,,,,,,,,,,
TELANGANA,509410,,,,,,,,,,,,
TELANGANA,509411,,,,,7%,70%,19%,4%,,,,
TELANGANA,509412,,,,,,,,,,,,
TRIPURA,799001,,,,,,,,,,,,
TRIPURA,799002,21%,64%,4%,11%,,,,,,,,
TRIPURA,799004,,,,,,,,,,,,
TRIPURA,799005,,,,,,,,,,,,
TRIPURA,799006,,,,,,,,,,,,
TRIPURA,799007,,,,,,,,,,,,
TRIPURA,799008,,,,,,,,,,,,
TRIPURA,799009,,,,,,,,,,,,
TRIPURA,799012,,,,,,,,,,,,
TRIPURA,799013,,,,,,,,,,,,
TRIPURA,799014,42%,8%,8%,42%,,,,,,,,
TRIPURA,799035,,,,,,,,,,,,
TRIPURA,799055,,,,,,,,,,,,
TRIPURA,799100,,,,,,,,,,,,
TRIPURA,799101,,,,,,,,,,,,
TRIPURA,799102,,,,,,,,,,,,
TRIPURA,799103,,,,,,,,,,,,
TRIPURA,799104,,,,,,,,,,,,
TRIPURA,799114,,,,,,,,,,,,
TRIPURA,799115,,,,,,,,,,,,
TRIPURA,799116,,,,,,,,,,,,
TRIPURA,799120,,,,,,,,,,,,
TRIPURA,799123,,,,,57%,22%,4%,17%,,,,
TRIPURA,799125,,,,,,,,,,,,
TRIPURA,799132,,,,,,,,,,,,
TRIPURA,799141,,,,,,,,,,,,
TRIPURA,799142,,,,,,,,,,,,
TRIPURA,799143,,,,,,,,,,,,
TRIPURA,799144,,,,,,,,,,,,
TRIPURA,799145,,,,,,,,,,,,
TRIPURA,799149,,,,,,,,,,,,
TRIPURA,799150,,,,,,,,,,,,
TRIPURA,799153,,,,,,,,,,,,
TRIPURA,799155,,,,,,,,,,,,
TRIPURA,799156,,,,,,,,,,,,
TRIPURA,799179,,,,,,,,,,,,
TRIPURA,799181,,,,,,,,,,,,
TRIPURA,799201,,,,,,,,,,,,
TRIPURA,799204,,,,,,,,,,,,
TRIPURA,799205,,,,,,,,,,,,
TRIPURA,799210,,,,,,,,,,,,
TRIPURA,799211,,,,,,,,,,,,
TRIPURA,799212,,,,,,,,,,,,
TRIPURA,799251,,,,,,,,,,,,
TRIPURA,799253,,,,,,,,,,,,
TRIPURA,799254,,,,,,,,,,,,
TRIPURA,799260,,,,,,,,,,,,
TRIPURA,799261,,,,,,,,,,,,
TRIPURA,799262,,,,,,,,,,,,
TRIPURA,799263,,,,,,,,,,,,
TRIPURA,799264,,,,,,,,,,,,
TRIPURA,799269,,,,,,,,,,,,
TRIPURA,799270,,,,,,,,,,,,
TRIPURA,799271,,,,,,,,,,,,
TRIPURA,799273,,,,,,,,,,,,
TRIPURA,799275,,,,,,,,,,,,
TRIPURA,799277,,,,,,,,,,,,
TRIPURA,799279,,,,,,,,,,,,
TRIPURA,799280,,,,,,,,,,,,
TRIPURA,799281,,,,,,,,,,,,
TRIPURA,799284,,,,,,,,,,,,
TRIPURA,799285,,,,,,,,,,,,
TRIPURA,799287,,,,,,,,,,,,
TRIPURA,799288,,,,,,,,,,,,
TRIPURA,799289,,,,,,,,,,,,
TRIPURA,799290,,,,,,,,,,,,
UTTARAKHAND,171206,,,,,,,,,,,,
UTTARAKHAND,171210,,,,,,,,,,,,
UTTARAKHAND,173025,,,,,,,,,,,,
UTTARAKHAND,244601,9%,55%,32%,5%,,,,,,,,
UTTARAKHAND,244602,,,,,,,,,,,,
UTTARAKHAND,244716,,,,,,,,,,,,
UTTARAKHAND,244717,,,,,,,,,,,,
UTTARAKHAND,244921,,,,,,,,,,,,
UTTARAKHAND,244924,8%,54%,31%,8%,,,,,,,,
UTTARAKHAND,246113,,,,,,,,,,,,
UTTARAKHAND,246121,,,,,,,,,,,,
UTTARAKHAND,246122,,,,,,,,,,,,
UTTARAKHAND,246123,,,,,41%,6%,29%,24%,,,,
UTTARAKHAND,246124,,,,,,,,,,,,
UTTARAKHAND,246125,,,,,,,,,,,,
UTTARAKHAND,246127,,,,,8%,25%,42%,25%,,,,
UTTARAKHAND,246128,,,,,,,,,,,,
UTTARAKHAND,246129,,,,,,,,,,,,
UTTARAKHAND,246130,,,,,,,,,,,,
UTTARAKHAND,246142,,,,,,,,,,,,
UTTARAKHAND,246144,,,,,,,,,,,,
UTTARAKHAND,246147,,,,,,,,,,,,
UTTARAKHAND,246159,,,,,,,,,,,,
UTTARAKHAND,246161,,,,,,,,,,,,
UTTARAKHAND,246162,,,,,,,,,,,,
UTTARAKHAND,246164,,,,,,,,,,,,
UTTARAKHAND,246165,,,,,,,,,,,,
UTTARAKHAND,246166,,,,,,,,,,,,
UTTARAKHAND,246167,,,,,,,,,,,,
UTTARAKHAND,246170,,,,,,,,,,,,
UTTARAKHAND,246173,,,,,,,,,,,,
UTTARAKHAND,246174,,,,,58%,11%,30%,1%,,,,
UTTARAKHAND,246175,,,,,,,,,,,,
UTTARAKHAND,246177,,,,,,,,,,,,
UTTARAKHAND,246185,,,,,,,,,,,,
UTTARAKHAND,246186,,,,,,,,,,,,
UTTARAKHAND,246191,,,,,,,,,,,,
UTTARAKHAND,246192,25%,25%,25%,25%,,,,,,,,
UTTARAKHAND,246193,,,,,,,,,,,,
UTTARAKHAND,246275,,,,,,,,,,,,
UTTARAKHAND,246276,,,,,,,,,,,,
UTTARAKHAND,246277,,,,,,,,,,,,
UTTARAKHAND,246279,,,,,,,,,,,,
UTTARAKHAND,246285,,,,,,,,,,,,
UTTARAKHAND,246401,,,,,,,,,,,,
UTTARAKHAND,246421,43%,14%,14%,29%,,,,,,,,
UTTARAKHAND,246424,,,,,81%,6%,6%,6%,,,,
UTTARAKHAND,246427,,,,,,,,,,,,
UTTARAKHAND,246428,,,,,,,,,,,,
UTTARAKHAND,246429,,,,,,,,,,,,
UTTARAKHAND,246431,,,,,,,,,,,,
UTTARAKHAND,246435,,,,,,,,,,,,
UTTARAKHAND,246438,,,,,,,,,,,,
UTTARAKHAND,246439,,,,,,,,,,,,
UTTARAKHAND,246440,,,,,,,,,,,,
UTTARAKHAND,246441,,,,,,,,,,,,
UTTARAKHAND,246443,,,,,,,,,,,,
UTTARAKHAND,246444,,,,,,,,,,,,
UTTARAKHAND,246446,,,,,,,,,,,,
UTTARAKHAND,246449,,,,,,,,,,,,
UTTARAKHAND,246452,,,,,,,,,,,,
UTTARAKHAND,246453,,,,,,,,,,,,
UTTARAKHAND,246455,,,,,,,,,,,,
UTTARAKHAND,246469,,,,,,,,,,,,
UTTARAKHAND,246471,,,,,,,,,,,,
UTTARAKHAND,246472,,,,,,,,,,,,
UTTARAKHAND,246473,,,,,,,,,,,,
UTTARAKHAND,246475,,,,,,,,,,,,
UTTARAKHAND,246481,,,,,,,,,,,,
UTTARAKHAND,246482,,,,,,,,,,,,
UTTARAKHAND,246486,,,,,,,,,,,,
UTTARAKHAND,246487,,,,,,,,,,,,
UTTARAKHAND,246722,,,,,11%,67%,11%,11%,,,,
UTTARAKHAND,246732,,,,,,,,,,,,
UTTARAKHAND,246747,,,,,,,,,,,,
UTTARAKHAND,246749,,,,,,,,,,,,
UTTARAKHAND,246763,,,,,,,,,,,,
UTTARAKHAND,247129,,,,,,,,,,,,
UTTARAKHAND,247662,,,,,,,,,,,,
UTTARAKHAND,247671,,,,,,,,,,,,
UTTARAKHAND,247769,,,,,,,,,,,,
UTTARAKHAND,248004,,,,,,,,,,,,
UTTARAKHAND,248102,,,,,,,,,,,,
UTTARAKHAND,248115,,,,,,,,,,,,
UTTARAKHAND,248122,,,,,38%,44%,13%,6%,,,,
UTTARAKHAND,248125,,,,,17%,66%,11%,6%,,,,
UTTARAKHAND,248126,8%,71%,8%,13%,,,,,,,,
UTTARAKHAND,248145,15%,65%,10%,10%,,,,,,,,
UTTARAKHAND,248148,,,,,,,,,,,,
UTTARAKHAND,248159,,,,,,,,,,,,
UTTARAKHAND,248164,,,,,,,,,,,,
UTTARAKHAND,248165,,,,,,,,,,,,
UTTARAKHAND,248167,,,,,,,,,,,,
UTTARAKHAND,248196,,,,,,,,,,,,
UTTARAKHAND,248199,,,,,,,,,,,,
UTTARAKHAND,248202,,,,,,,,,,,,
UTTARAKHAND,248252,,,,,,,,,,,,
UTTARAKHAND,249001,,,,,,,,,,,,
UTTARAKHAND,249121,,,,,,,,,,,,
UTTARAKHAND,249122,,,,,83%,1%,6%,9%,,,,
UTTARAKHAND,249123,,,,,,,,,,,,
UTTARAKHAND,249130,,,,,,,,,,,,
UTTARAKHAND,249131,,,,,,,,,,,,
UTTARAKHAND,249134,,,,,,,,,,,,
UTTARAKHAND,249137,9%,84%,5%,2%,,,,,,,,
UTTARAKHAND,249141,,,,,,,,,,,,
UTTARAKHAND,249145,,,,,25%,3%,44%,28%,,,,
UTTARAKHAND,249146,67%,7%,7%,20%,,,,,,,,
UTTARAKHAND,249147,,,,,,,,,,,,
UTTARAKHAND,249151,,,,,,,,,,,,
UTTARAKHAND,249152,,,,,,,,,,,,
UTTARAKHAND,249155,,,,,,,,,,,,
UTTARAKHAND,249165,,,,,,,,,,,,
UTTARAKHAND,249171,,,,,,,,,,,,
UTTARAKHAND,249181,,,,,,,,,,,,
UTTARAKHAND,249185,,,,,,,,,,,,
UTTARAKHAND,249186,,,,,,,,,,,,
UTTARAKHAND,249193,,,,,,,,,,,,
UTTARAKHAND,249194,,,,,,,,,,,,
UTTARAKHAND,249196,,,,,67%,1%,32%,1%,,,,
UTTARAKHAND,249199,,,,,,,,,,,,
UTTARAKHAND,249301,,,,,,,,,,,,
UTTARAKHAND,249302,,,,,36%,45%,9%,9%,,,,
UTTARAKHAND,249306,,,,,,,,,,,,
UTTARAKHAND,251310,,,,,,,,,,,,
UTTARAKHAND,251327,,,,,,,,,,,,
UTTARAKHAND,254716,,,,,,,,,,,,
UTTARAKHAND,262121,,,,,,,,,,,,
UTTARAKHAND,262123,,,,,,,,,,,,
UTTARAKHAND,262311,4%,92%,2%,2%,,,,,,,,
UTTARAKHAND,262312,,,,,,,,,,,,
UTTARAKHAND,262501,,,,,,,,,,,,
UTTARAKHAND,262502,,,,,,,,,,,,
UTTARAKHAND,262519,,,,,,,,,,,,
UTTARAKHAND,262520,,,,,,,,,,,,
UTTARAKHAND,262522,,,,,,,,,,,,
UTTARAKHAND,262523,,,,,36%,36%,9%,18%,,,,
UTTARAKHAND,262525,,,,,,,,,,,,
UTTARAKHAND,262527,,,,,,,,,,,,
UTTARAKHAND,262528,,,,,,,,,,,,
UTTARAKHAND,262529,,,,,,,,,,,,
UTTARAKHAND,262530,,,,,,,,,,,,
UTTARAKHAND,262531,,,,,,,,,,,,
UTTARAKHAND,262532,,,,,,,,,,,,
UTTARAKHAND,262534,,,,,,,,,,,,
UTTARAKHAND,262541,,,,,,,,,,,,
UTTARAKHAND,262542,,,,,,,,,,,,
UTTARAKHAND,262543,,,,,,,,,,,,
UTTARAKHAND,262544,,,,,,,,,,,,
UTTARAKHAND,262545,,,,,,,,,,,,
UTTARAKHAND,262550,,,,,,,,,,,,
UTTARAKHAND,262551,,,,,,,,,,,,
UTTARAKHAND,262552,,,,,,,,,,,,
UTTARAKHAND,262553,,,,,,,,,,,,
UTTARAKHAND,262554,,,,,,,,,,,,
UTTARAKHAND,262561,,,,,,,,,,,,
UTTARAKHAND,262571,,,,,,,,,,,,
UTTARAKHAND,262576,,,,,,,,,,,,
UTTARAKHAND,262580,,,,,,,,,,,,
UTTARAKHAND,263127,33%,25%,17%,25%,,,,,,,,
UTTARAKHAND,263128,,,,,,,,,,,,
UTTARAKHAND,263129,,,,,,,,,,,,
UTTARAKHAND,263138,,,,,57%,14%,14%,14%,,,,
UTTARAKHAND,263140,,,,,,,,,,,,
UTTARAKHAND,263146,,,,,,,,,,,,
UTTARAKHAND,263157,,,,,,,,,,,,
UTTARAKHAND,263158,,,,,,,,,,,,
UTTARAKHAND,263163,,,,,,,,,,,,
UTTARAKHAND,263164,,,,,,,,,,,,
UTTARAKHAND,263309,,,,,,,,,,,,
UTTARAKHAND,263408,,,,,3%,66%,28%,3%,,,,
UTTARAKHAND,263610,,,,,,,,,,,,
UTTARAKHAND,263620,,,,,,,,,,,,
UTTARAKHAND,263621,,,,,,,,,,,,
UTTARAKHAND,263622,,,,,,,,,,,,
UTTARAKHAND,263623,,,,,,,,,,,,
UTTARAKHAND,263624,,,,,,,,,,,,
UTTARAKHAND,263625,,,,,,,,,,,,
UTTARAKHAND,263626,,,,,,,,,,,,
UTTARAKHAND,263627,,,,,,,,,,,,
UTTARAKHAND,263628,,,,,,,,,,,,
UTTARAKHAND,263629,,,,,,,,,,,,
UTTARAKHAND,263630,,,,,,,,,,,,
UTTARAKHAND,263631,,,,,,,,,,,,
UTTARAKHAND,263633,,,,,,,,,,,,
UTTARAKHAND,263634,,,,,,,,,,,,
UTTARAKHAND,263635,,,,,,,,,,,,
UTTARAKHAND,263636,,,,,,,,,,,,
UTTARAKHAND,263637,,,,,,,,,,,,
UTTARAKHAND,263638,,,,,,,,,,,,
UTTARAKHAND,263639,,,,,,,,,,,,
UTTARAKHAND,263641,,,,,,,,,,,,
UTTARAKHAND,263642,,,,,,,,,,,,
UTTARAKHAND,263643,,,,,,,,,,,,
UTTARAKHAND,263646,,,,,,,,,,,,
UTTARAKHAND,263651,,,,,,,,,,,,
UTTARAKHAND,263652,,,,,,,,,,,,
UTTARAKHAND,263653,,,,,69%,1%,14%,16%,,,,
UTTARAKHAND,263656,,,,,,,,,,,,
UTTARAKHAND,263658,,,,,,,,,,,,
UTTARAKHAND,263659,,,,,,,,,,,,
UTTARAKHAND,263661,,,,,,,,,,,,
UTTARAKHAND,263663,,,,,40%,20%,20%,20%,,,,
UTTARAKHAND,263664,,,,,,,,,,,,
UTTARAKHAND,263665,,,,,,,,,,,,
UTTARAKHAND,263667,,,,,,,,,,,,
UTTARAKHAND,263675,,,,,,,,,,,,
UTTARAKHAND,263676,,,,,,,,,,,,
UTTARAKHAND,263677,,,,,,,,,,,,
UTTARAKHAND,263679,,,,,,,,,,,,
UTTARAKHAND,263680,,,,,,,,,,,,
UTTARAKHAND,263683,,,,,,,,,,,,
UTTARAKHAND,263686,,,,,,,,,,,,
UTTARAKHAND,263687,,,,,,,,,,,,
UTTAR PRADESH,110053,,,,,,,,,,,,
UTTAR PRADESH,173025,,,,,,,,,,,,
UTTAR PRADESH,202121,,,,,,,,,,,,
UTTAR PRADESH,202122,,,,,,,,,,,,
UTTAR PRADESH,202123,4%,72%,12%,12%,,,,,,,,
UTTAR PRADESH,202128,,,,,,,,,,,,
UTTAR PRADESH,202133,,,,,,,,,,,,
UTTAR PRADESH,202134,,,,,,,,,,,,
UTTAR PRADESH,202135,,,,,,,,,,,,
UTTAR PRADESH,202136,15%,45%,20%,20%,,,,,,,,
UTTAR PRADESH,202139,,,,,,,,,,,,
UTTAR PRADESH,202141,42%,51%,2%,5%,,,,,,,,
UTTAR PRADESH,202142,,,,,,,,,,,,
UTTAR PRADESH,202143,16%,52%,12%,20%,,,,,,,,
UTTAR PRADESH,202150,,,,,,,,,,,,
UTTAR PRADESH,202155,14%,68%,11%,7%,,,,,,,,
UTTAR PRADESH,202170,,,,,,,,,,,,
UTTAR PRADESH,202281,,,,,,,,,,,,
UTTAR PRADESH,202282,18%,65%,12%,6%,,,,,,,,
UTTAR PRADESH,202391,19%,67%,10%,5%,,,,,,,,
UTTAR PRADESH,202397,4%,67%,13%,17%,,,,,,,,
UTTAR PRADESH,202398,,,,,4%,68%,18%,11%,,,,
UTTAR PRADESH,202399,,,,,7%,80%,7%,7%,,,,
UTTAR PRADESH,202414,,,,,,,,,,,,
UTTAR PRADESH,202415,4%,64%,20%,12%,,,,,,,,
UTTAR PRADESH,202421,,,,,,,,,,,,
UTTAR PRADESH,202521,,,,,,,,,,,,
UTTAR PRADESH,202522,,,,,,,,,,,,
UTTAR PRADESH,202523,,,,,1%,36%,4%,59%,,,,
UTTAR PRADESH,202524,,,,,,,,,,,,
UTTAR PRADESH,202526,0%,97%,2%,0%,,,,,,,,
UTTAR PRADESH,203141,,,,,,,,,,,,
UTTAR PRADESH,203150,,,,,10%,70%,10%,10%,,,,
UTTAR PRADESH,203392,,,,,,,,,,,,
UTTAR PRADESH,204105,,,,,,,,,,,,
UTTAR PRADESH,204106,,,,,,,,,,,,
UTTAR PRADESH,204210,,,,,,,,,,,,
UTTAR PRADESH,204211,,,,,,,,,,,,
UTTAR PRADESH,204212,,,,,,,,,,,,
UTTAR PRADESH,204214,,,,,11%,44%,22%,22%,,,,
UTTAR PRADESH,205119,,,,,,,,,,,,
UTTAR PRADESH,205145,6%,70%,14%,10%,,,,,,,,
UTTAR PRADESH,205147,,,,,,,,,,,,
UTTAR PRADESH,205152,,,,,13%,72%,8%,8%,,,,
UTTAR PRADESH,205247,,,,,,,,,,,,
UTTAR PRADESH,205262,31%,60%,7%,2%,,,,,,,,
UTTAR PRADESH,205263,,,,,,,,,,,,
UTTAR PRADESH,205267,,,,,,,,,,,,
UTTAR PRADESH,205268,,,,,10%,80%,8%,2%,,,,
UTTAR PRADESH,205302,,,,,,,,,,,,
UTTAR PRADESH,206120,,,,,,,,,,,,
UTTAR PRADESH,206123,10%,66%,18%,6%,,,,,,,,
UTTAR PRADESH,206124,13%,65%,7%,15%,,,,,,,,
UTTAR PRADESH,206125,,,,,,,,,,,,
UTTAR PRADESH,206128,18%,65%,6%,12%,,,,,,,,
UTTAR PRADESH,206129,26%,66%,4%,4%,,,,,,,,
UTTAR PRADESH,206131,2%,92%,4%,2%,,,,,,,,
UTTAR PRADESH,206243,20%,59%,2%,18%,,,,,,,,
UTTAR PRADESH,206246,,,,,,,,,,,,
UTTAR PRADESH,206248,,,,,,,,,,,,
UTTAR PRADESH,206249,,,,,,,,,,,,
UTTAR PRADESH,206250,,,,,,,,,,,,
UTTAR PRADESH,206251,,,,,,,,,,,,
UTTAR PRADESH,206252,,,,,8%,76%,8%,8%,,,,
UTTAR PRADESH,206255,,,,,,,,,,,,
UTTAR PRADESH,206303,,,,,,,,,,,,
UTTAR PRADESH,206451,,,,,,,,,,,,
UTTAR PRADESH,207120,4%,57%,22%,17%,,,,,,,,
UTTAR PRADESH,207121,,,,,,,,,,,,
UTTAR PRADESH,207122,,,,,,,,,,,,
UTTAR PRADESH,207124,,,,,,,,,,,,
UTTAR PRADESH,207125,2%,11%,84%,4%,,,,,,,,
UTTAR PRADESH,207126,,,,,,,,,,,,
UTTAR PRADESH,207241,,,,,,,,,,,,
UTTAR PRADESH,207243,,,,,2%,47%,50%,2%,,,,
UTTAR PRADESH,207244,,,,,18%,62%,18%,2%,,,,
UTTAR PRADESH,207246,,,,,,,,,,,,
UTTAR PRADESH,207248,14%,62%,14%,10%,,,,,,,,
UTTAR PRADESH,207250,,,,,,,,,,,,
UTTAR PRADESH,207302,4%,79%,16%,1%,,,,,,,,
UTTAR PRADESH,207401,,,,,,,,,,,,
UTTAR PRADESH,207402,,,,,,,,,,,,
UTTAR PRADESH,207501,,,,,,,,,,,,
UTTAR PRADESH,207503,,,,,7%,88%,2%,2%,,,,
UTTAR PRADESH,207504,,,,,5%,81%,5%,10%,,,,
UTTAR PRADESH,207505,,,,,,,,,,,,
UTTAR PRADESH,208008,1%,93%,4%,2%,,,,,,,,
UTTAR PRADESH,208013,,,,,3%,82%,6%,9%,,,,
UTTAR PRADESH,208015,,,,,1%,90%,7%,1%,,,,
UTTAR PRADESH,208016,,,,,7%,86%,5%,2%,,,,
UTTAR PRADESH,208024,,,,,,,,,,,,
UTTAR PRADESH,208026,,,,,,,,,,,,
UTTAR PRADESH,208028,,,,,,,,,,,,
UTTAR PRADESH,208029,,,,,,,,,,,,
UTTAR PRADESH,209112,33%,56%,4%,7%,,,,,,,,
UTTAR PRADESH,209121,,,,,,,,,,,,
UTTAR PRADESH,209201,,,,,,,,,,,,
UTTAR PRADESH,209204,,,,,10%,75%,10%,5%,,,,
UTTAR PRADESH,209205,,,,,3%,84%,6%,6%,,,,
UTTAR PRADESH,209208,,,,,,,,,,,,
UTTAR PRADESH,209209,,,,,,,,,,,,
UTTAR PRADESH,209301,,,,,,,,,,,,
UTTAR PRADESH,209304,,,,,3%,89%,5%,3%,,,,
UTTAR PRADESH,209305,,,,,7%,82%,2%,9%,,,,
UTTAR PRADESH,209306,,,,,3%,82%,3%,13%,,,,
UTTAR PRADESH,209307,,,,,5%,68%,18%,8%,,,,
UTTAR PRADESH,209308,,,,,,,,,,,,
UTTAR PRADESH,209310,,,,,,,,,,,,
UTTAR PRADESH,209311,,,,,,,,,,,,
UTTAR PRADESH,209312,3%,88%,3%,6%,,,,,,,,
UTTAR PRADESH,209344,,,,,,,,,,,,
UTTAR PRADESH,209401,,,,,,,,,,,,
UTTAR PRADESH,209407,,,,,,,,,,,,
UTTAR PRADESH,209451,,,,,,,,,,,,
UTTAR PRADESH,209506,,,,,,,,,,,,
UTTAR PRADESH,209621,,,,,,,,,,,,
UTTAR PRADESH,209622,,,,,,,,,,,,
UTTAR PRADESH,209715,2%,87%,2%,9%,,,,,,,,
UTTAR PRADESH,209720,,,,,,,,,,,,
UTTAR PRADESH,209723,,,,,,,,,,,,
UTTAR PRADESH,209725,,,,,,,,,,,,
UTTAR PRADESH,209726,2%,86%,4%,8%,,,,,,,,
UTTAR PRADESH,209728,,,,,5%,91%,3%,1%,,,,
UTTAR PRADESH,209729,,,,,,,,,,,,
UTTAR PRADESH,209731,7%,85%,4%,4%,,,,,,,,
UTTAR PRADESH,209732,,,,,4%,76%,1%,19%,,,,
UTTAR PRADESH,209733,,,,,,,,,,,,
UTTAR PRADESH,209734,,,,,,,,,,,,
UTTAR PRADESH,209736,,,,,,,,,,,,
UTTAR PRADESH,209738,,,,,,,,,,,,
UTTAR PRADESH,209739,,,,,6%,86%,3%,6%,,,,
UTTAR PRADESH,209743,17%,57%,17%,9%,,,,,,,,
UTTAR PRADESH,209745,,,,,,,,,,,,
UTTAR PRADESH,209746,,,,,,,,,,,,
UTTAR PRADESH,209747,,,,,,,,,,,,
UTTAR PRADESH,209749,,,,,,,,,,,,
UTTAR PRADESH,209821,,,,,,,,,,,,
UTTAR PRADESH,209825,,,,,,,,,,,,
UTTAR PRADESH,209827,,,,,,,,,,,,
UTTAR PRADESH,209831,,,,,,,,,,,,
UTTAR PRADESH,209862,,,,,,,,,,,,
UTTAR PRADESH,210010,,,,,,,,,,,,
UTTAR PRADESH,210123,,,,,,,,,,,,
UTTAR PRADESH,210125,,,,,,,,,,,,
UTTAR PRADESH,210126,,,,,,,,,,,,
UTTAR PRADESH,210128,,,,,,,,,,,,
UTTAR PRADESH,210129,,,,,7%,74%,4%,15%,,,,
UTTAR PRADESH,210201,,,,,13%,81%,1%,5%,,,,
UTTAR PRADESH,210202,,,,,,,,,,,,
UTTAR PRADESH,210203,,,,,,,,,,,,
UTTAR PRADESH,210205,3%,86%,3%,8%,,,,,,,,
UTTAR PRADESH,210206,,,,,,,,,,,,
UTTAR PRADESH,210207,,,,,,,,,,,,
UTTAR PRADESH,210209,3%,90%,3%,3%,,,,,,,,
UTTAR PRADESH,210301,,,,,,,,,,,,
UTTAR PRADESH,210341,,,,,,,,,,,,
UTTAR PRADESH,210421,,,,,,,,,,,,
UTTAR PRADESH,210422,,,,,,,,,,,,
UTTAR PRADESH,210423,,,,,,,,,,,,
UTTAR PRADESH,210424,,,,,,,,,,,,
UTTAR PRADESH,210425,,,,,,,,,,,,
UTTAR PRADESH,210426,,,,,,,,,,,,
UTTAR PRADESH,210428,,,,,,,,,,,,
UTTAR PRADESH,210429,,,,,,,,,,,,
UTTAR PRADESH,210430,,,,,,,,,,,,
UTTAR PRADESH,210432,,,,,,,,,,,,
UTTAR PRADESH,210433,,,,,,,,,,,,
UTTAR PRADESH,210501,,,,,,,,,,,,
UTTAR PRADESH,210502,1%,97%,0%,2%,,,,,,,,
UTTAR PRADESH,210504,,,,,,,,,,,,
UTTAR PRADESH,210505,,,,,,,,,,,,
UTTAR PRADESH,210506,,,,,,,,,,,,
UTTAR PRADESH,210507,,,,,1%,89%,1%,9%,,,,
UTTAR PRADESH,211004,,,,,,,,,,,,
UTTAR PRADESH,211009,4%,72%,4%,20%,,,,,,,,
UTTAR PRADESH,211010,,,,,,,,,,,,
UTTAR PRADESH,211017,,,,,,,,,,,,
UTTAR PRADESH,211018,,,,,,,,,,,,
UTTAR PRADESH,212104,,,,,,,,,,,,
UTTAR PRADESH,212105,,,,,,,,,,,,
UTTAR PRADESH,212109,42%,56%,1%,1%,,,,,,,,
UTTAR PRADESH,212202,5%,81%,8%,5%,,,,,,,,
UTTAR PRADESH,212204,,,,,,,,,,,,
UTTAR PRADESH,212205,,,,,,,,,,,,
UTTAR PRADESH,212206,,,,,,,,,,,,
UTTAR PRADESH,212207,,,,,,,,,,,,
UTTAR PRADESH,212212,,,,,,,,,,,,
UTTAR PRADESH,212213,,,,,,,,,,,,
UTTAR PRADESH,212214,,,,,,,,,,,,
UTTAR PRADESH,212215,,,,,,,,,,,,
UTTAR PRADESH,212216,,,,,,,,,,,,
UTTAR PRADESH,212218,,,,,,,,,,,,
UTTAR PRADESH,212304,,,,,,,,,,,,
UTTAR PRADESH,212305,9%,74%,12%,4%,,,,,,,,
UTTAR PRADESH,212306,,,,,10%,24%,5%,62%,,,,
UTTAR PRADESH,212307,,,,,7%,83%,5%,5%,,,,
UTTAR PRADESH,212401,,,,,,,,,,,,
UTTAR PRADESH,212404,,,,,,,,,,,,
UTTAR PRADESH,212503,,,,,,,,,,,,
UTTAR PRADESH,212507,12%,82%,4%,1%,,,,,,,,
UTTAR PRADESH,212620,,,,,,,,,,,,
UTTAR PRADESH,212621,,,,,,,,,,,,
UTTAR PRADESH,212631,57%,34%,1%,7%,,,,,,,,
UTTAR PRADESH,212635,,,,,,,,,,,,
UTTAR PRADESH,212641,,,,,,,,,,,,
UTTAR PRADESH,212645,,,,,,,,,,,,
UTTAR PRADESH,212650,,,,,,,,,,,,
UTTAR PRADESH,212651,8%,50%,8%,33%,,,,,,,,
UTTAR PRADESH,212652,,,,,,,,,,,,
UTTAR PRADESH,212653,,,,,,,,,,,,
UTTAR PRADESH,212654,,,,,,,,,,,,
UTTAR PRADESH,212656,,,,,,,,,,,,
UTTAR PRADESH,212658,,,,,,,,,,,,
UTTAR PRADESH,212659,,,,,6%,81%,6%,8%,,,,
UTTAR PRADESH,212660,,,,,,,,,,,,
UTTAR PRADESH,212661,,,,,,,,,,,,
UTTAR PRADESH,212662,,,,,,,,,,,,
UTTAR PRADESH,212663,,,,,,,,,,,,
UTTAR PRADESH,212665,,,,,2%,94%,1%,3%,,,,
UTTAR PRADESH,216221,,,,,,,,,,,,
UTTAR PRADESH,221004,,,,,,,,,,,,
UTTAR PRADESH,221009,,,,,,,,,,,,
UTTAR PRADESH,221105,,,,,3%,92%,1%,4%,,,,
UTTAR PRADESH,221108,,,,,,,,,,,,
UTTAR PRADESH,221110,,,,,,,,,,,,
UTTAR PRADESH,221111,,,,,,,,,,,,
UTTAR PRADESH,221113,,,,,,,,,,,,
UTTAR PRADESH,221116,,,,,,,,,,,,
UTTAR PRADESH,221201,,,,,4%,69%,23%,4%,,,,
UTTAR PRADESH,221207,,,,,,,,,,,,
UTTAR PRADESH,221208,,,,,,,,,,,,
UTTAR PRADESH,221209,,,,,,,,,,,,
UTTAR PRADESH,221210,,,,,,,,,,,,
UTTAR PRADESH,221302,4%,88%,4%,4%,,,,,,,,
UTTAR PRADESH,221303,,,,,11%,77%,3%,10%,,,,
